Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.36364	3.75000E-4
27.31699	3.75000E-4
27.36364	3.75000E-4
27.41032	3.75000E-4
27.36364	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.45703	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.45703	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.36364	3.75000E-4
27.41032	3.75000E-4
27.36364	3.75000E-4
27.31699	3.75000E-4
27.36364	3.75000E-4
27.31699	3.75000E-4
27.31699	3.75000E-4
27.41032	3.75000E-4
